Dbp2.1	Dbp2.2	Dbp2.3	type
YIL133C	399	124	377	gene
YIL130W	9	17	16	gene
YIL129C	56	72	58	gene
YIL128W	14	40	25	gene
YIL126W	39	238	56	gene
YIL125W	72	125	88	gene
YIL124W	40	25	7	gene
YIL123W	531	342	698	gene
YIL121W	13	68	12	gene
YIL119C	24	39	85	gene
YIL118W	37	35	38	gene
YIL117C	22	10	7	gene
YIL116W	15	88	27	gene
YIL115C	44	35	13	gene
YIL111W	42	24	96	gene
YIL109C	74	44	84	gene
YIL106W	23	8	45	gene
YIL105C	34	7	49	gene
YIL101C	14	7	9	gene
YIL094C	75	24	33	gene
YIL093C	8	141	6	gene
YIL090W	16	32	34	gene
YIL083C	32	36	28	gene
YIL078W	198	226	174	gene
YIL075C	265	421	285	gene
YIL074C	28	98	80	gene
YIL069C	217	106	159	gene
YIL062C	60	133	29	gene
YIL056W	127	213	222	gene
YIL053W	871	879	1274	gene
YIL052C	317	90	358	gene
YIL051C	210	168	236	gene
YIL050W	44	103	76	gene
YIL048W	99	63	105	gene
YIL047C	41	117	23	gene
YIL041W	28	26	55	gene
YIL039W	16	139	13	gene
YIL038C	40	25	17	gene
YIL036W	53	85	115	gene
YIL035C	24	62	61	gene
YIL034C	72	7	115	gene
YIL033C	112	18	73	gene
YIL031W	22	9	17	gene
YIL030C	142	29	137	gene
YIL027C	40	8	17	gene
YIL022W	87	312	105	gene
YIL018W	706	496	936	gene
YIL015W	81	82	49	gene
YIL002W-A	30	116	8	gene
YIR004W	45	19	41	gene
YIR006C	213	373	250	gene
YIR010W	6	10	26	gene
YIR012W	21	7	29	gene
YIR023W	9	66	17	gene
YJL222W	20	208	70	gene
YJL213W	43	220	13	gene
YJL212C	11	19	15	gene
YJL207C	73	215	42	gene
YJL201W	11	9	11	gene
YJL198W	44	105	134	gene
YJL193W	27	50	30	gene
YJL191W	117	58	425	gene
YJL190C	371	344	311	gene
YJL189W	368	416	530	gene
YJL186W	25	96	62	gene
YJL183W	21	13	46	gene
YJL177W	378	214	335	gene
YJL174W	93	59	79	gene
YJL172W	77	111	56	gene
YJL171C	195	434	395	gene
YJL168C	13	7	38	gene
YJL167W	27	14	70	gene
YJL165C	158	181	101	gene
YJL164C	26	80	86	gene
YJL159W	1888	859	2233	gene
YJL158C	428	229	495	gene
YJL154C	88	111	83	gene
YJL151C	88	90	73	gene
YJL143W	60	130	68	gene
YJL141C	59	141	111	gene
YJL140W	71	17	48	gene
YJL138C	254	223	262	gene
YJL136C	343	76	284	gene
YJL130C	430	630	462	gene
YJL128C	51	76	74	gene
YJL127C-B	25	18	14	gene
YJL124C	29	27	41	gene
YJL123C	13	188	46	gene
YJL122W	42	19	21	gene
YJL121C	19	7	25	gene
YJL117W	133	36	66	gene
YJL111W	55	41	48	gene
YJL109C	153	72	213	gene
YJL108C	47	51	23	gene
YJL107C	79	150	192	gene
YJL101C	21	14	39	gene
YJL094C	63	30	54	gene
YJL092W	7	64	21	gene
YJL091C	9	33	12	gene
YJL083W	7	78	76	gene
YJL082W	19	127	39	gene
YJL080C	326	437	424	gene
YJL079C	29	231	52	gene
YJL078C	54	23	7	gene
YJL076W	116	48	121	gene
YJL063C	18	21	9	gene
YJL062W	14	128	15	gene
YJL061W	50	28	93	gene
YJL060W	19	60	27	gene
YJL052W	341	336	122	gene
YJL050W	37	49	105	gene
YJL048C	27	51	12	gene
YJL047C-A	120	130	169	gene
YJL047C	10	58	8	gene
YJL044C	14	58	10	gene
YJL042W	126	550	115	gene
YJL041W	146	93	77	gene
YJL039C	162	188	112	gene
YJL034W	751	688	538	gene
YJL033W	44	7	19	gene
YJL031C	7	42	12	gene
YJL030W	9	94	6	gene
YJL029C	28	72	78	gene
YJL026W	168	174	103	gene
YJL020C	22	47	69	gene
YJL016W	14	14	17	gene
YJL014W	95	58	31	gene
YJL013C	26	17	12	gene
YJL012C	307	295	217	gene
YJL008C	101	71	44	gene
YJL005W	212	128	206	gene
YJL004C	29	14	6	gene
YJL003W	21	18	7	gene
YJL002C	109	47	84	gene
YJL001W	162	130	78	gene
YJR001W	53	140	32	gene
YJR002W	24	147	23	gene
YJR005W	37	48	34	gene
YJR007W	72	70	139	gene
YJR009C	2259	1441	1620	gene
YJR010C-A	17	25	6	gene
YJR015W	30	44	21	gene
YJR016C	413	493	525	gene
YJR042W	15	78	8	gene
YJR045C	1083	556	868	gene
YJR046W	33	216	42	gene
YJR059W	67	175	40	gene
YJR064W	71	25	64	gene
YJR065C	88	219	53	gene
YJR066W	90	28	173	gene
YJR070C	11	23	27	gene
YJR076C	37	97	8	gene
YJR077C	57	38	59	gene
YJR080C	6	7	15	gene
YJR088C	38	16	36	gene
YJR090C	55	27	35	gene
YJR091C	170	105	476	gene
YJR094W-A	208	152	303	gene
YJR101W	64	12	38	gene
YJR103W	32	83	6	gene
YJR104C	219	337	160	gene
YJR105W	182	76	82	gene
YJR106W	14	26	43	gene
YJR109C	12	13	52	gene
YJR112W	9	15	13	gene
YJR117W	28	7	41	gene
YJR121W	190	186	128	gene
YJR123W	1051	643	984	gene
YJR131W	31	40	33	gene
YJR132W	150	39	68	gene
YJR135W-A	13	24	32	gene
YJR137C	10	8	13	gene
YJR139C	161	37	171	gene
YJR143C	97	74	73	gene
YJR145C	722	422	703	gene
YJR148W	170	97	158	gene
YKL218C	9	24	22	gene
YKL216W	263	299	184	gene
YKL213C	20	20	36	gene
YKL212W	147	146	125	gene
YKL211C	16	106	28	gene
YKL210W	189	257	334	gene
YKL209C	35	39	24	gene
YKL207W	16	23	18	gene
YKL205W	21	77	31	gene
YKL201C	19	8	14	gene
YKL198C	6	9	57	gene
YKL196C	10	55	19	gene
YKL195W	87	72	114	gene
YKL192C	51	266	62	gene
YKL191W	10	19	25	gene
YKL190W	75	161	49	gene
YKL185W	45	30	27	gene
YKL184W	77	182	63	gene
YKL182W	1614	1541	1464	gene
YKL181W	57	32	88	gene
YKL180W	471	406	679	gene
YKL176C	34	122	49	gene
YKL173W	39	12	39	gene
YKL170W	17	6	25	gene
YKL164C	493	176	389	gene
YKL160W	8	83	7	gene
YKL157W	54	143	38	gene
YKL156W	68	210	155	gene
YKL154W	20	9	15	gene
YKL152C	2458	1435	2192	gene
YKL150W	31	120	50	gene
YKL142W	43	18	51	gene
YKL140W	14	42	23	gene
YKL129C	14	14	7	gene
YKL128C	11	23	76	gene
YKL127W	12	75	9	gene
YKL126W	50	82	54	gene
YKL125W	6	7	8	gene
YKL122C	36	94	14	gene
YKL120W	34	65	21	gene
YKL117W	163	48	187	gene
YKL110C	13	18	33	gene
YKL109W	8	11	7	gene
YKL105C	20	101	7	gene
YKL104C	82	309	49	gene
YKL101W	141	27	254	gene
YKL100C	110	47	105	gene
YKL096W-A	647	642	1101	gene
YKL096W	51	69	71	gene
YKL092C	11	45	44	gene
YKL087C	21	10	10	gene
YKL085W	8	91	7	gene
YKL081W	966	883	1225	gene
YKL080W	111	39	69	gene
YKL077W	33	18	25	gene
YKL068W-A	48	50	29	gene
YKL065C	104	80	114	gene
YKL064W	11	33	12	gene
YKL063C	22	73	15	gene
YKL060C	4669	4258	4547	gene
YKL058W	23	16	19	gene
YKL057C	25	99	67	gene
YKL056C	601	382	525	gene
YKL054C	101	137	105	gene
YKL043W	11	134	32	gene
YKL039W	24	66	35	gene
YKL038W	10	25	24	gene
YKL035W	198	121	193	gene
YKL033W-A	30	110	47	gene
YKL032C	88	66	72	gene
YKL029C	128	339	168	gene
YKL020C	17	33	16	gene
YKL014C	34	37	97	gene
YKL010C	37	29	106	gene
YKL009W	24	98	43	gene
YKL008C	26	107	11	gene
YKL006W	483	257	508	gene
YKL004W	34	36	39	gene
YKL002W	10	19	13	gene
YKR001C	53	55	54	gene
YKR008W	99	84	100	gene
YKR013W	31	143	103	gene
YKR014C	26	83	75	gene
YKR018C	68	98	42	gene
YKR026C	26	138	25	gene
YKR028W	84	247	103	gene
YKR035W-A	18	28	7	gene
YKR038C	43	48	105	gene
YKR042W	818	393	838	gene
YKR048C	9	138	14	gene
YKR057W	241	60	247	gene
YKR058W	11	36	32	gene
YKR059W	712	528	616	gene
YKR061W	10	41	23	gene
YKR067W	87	80	85	gene
YKR072C	40	79	48	gene
YKR075C	19	231	81	gene
YKR080W	103	53	99	gene
YKR082W	29	98	17	gene
YKR084C	18	24	15	gene
YKR086W	23	17	34	gene
YKR089C	37	97	99	gene
YKR092C	20	13	32	gene
YKR093W	107	306	196	gene
YKR094C	453	441	463	gene
YKR095W	43	76	49	gene
YKR096W	22	34	20	gene
YKR100C	31	55	41	gene
YLL051C	7	174	17	gene
YLL050C	296	116	334	gene
YLL048C	63	156	45	gene
YLL045C	533	773	607	gene
YLL043W	48	222	94	gene
YLL040C	102	103	42	gene
YLL039C	82	62	118	gene
YLL028W	31	25	32	gene
YLL027W	10	49	54	gene
YLL026W	1162	611	879	gene
YLL024C	2269	1388	1953	gene
YLL023C	68	17	22	gene
YLL021W	49	43	19	gene
YLL018C	121	56	110	gene
YLL015W	161	123	138	gene
YLL013C	70	269	62	gene
YLL009C	36	18	16	gene
YLL008W	17	14	9	gene
YLR006C	6	22	19	gene
YLR009W	20	53	16	gene
YLR017W	21	21	60	gene
YLR022C	7	41	7	gene
YLR025W	26	110	25	gene
YLR027C	158	355	134	gene
YLR028C	73	306	70	gene
YLR029C	632	655	693	gene
YLR034C	37	53	42	gene
YLR039C	86	53	39	gene
YLR043C	145	52	137	gene
YLR044C	7325	4449	6745	gene
YLR048W	858	853	881	gene
YLR056W	109	300	201	gene
YLR058C	553	555	723	gene
YLR060W	162	271	110	gene
YLR061W	460	378	563	gene
YLR065C	12	16	18	gene
YLR066W	26	10	37	gene
YLR067C	23	41	6	gene
YLR069C	29	63	7	gene
YLR071C	15	19	33	gene
YLR075W	1021	874	981	gene
YLR083C	144	82	127	gene
YLR089C	99	328	158	gene
YLR093C	53	100	172	gene
YLR094C	55	10	139	gene
YLR095C	33	9	93	gene
YLR096W	11	79	40	gene
YLR099C	11	116	31	gene
YLR100W	86	8	89	gene
YLR104W	18	77	32	gene
YLR106C	757	442	693	gene
YLR109W	726	353	725	gene
YLR110C	2443	3471	3768	gene
YLR113W	144	36	114	gene
YLR118C	8	117	9	gene
YLR120C	259	240	340	gene
YLR121C	62	121	76	gene
YLR129W	18	14	27	gene
YLR138W	59	239	152	gene
YLR139C	82	16	41	gene
YLR143W	37	48	60	gene
YLR148W	14	18	17	gene
YLR149C	60	16	25	gene
YLR150W	568	335	564	gene
YLR152C	65	12	52	gene
YLR153C	271	245	285	gene
YLR154W-A	21	75	205	gene
YLR154W-B	33	118	236	gene
YLR154W-C	33	134	108	gene
YLR154W-E	6	11	70	gene
YLR154W-F	130	311	449	gene
YLR155C	83	11	32	gene
YLR163C	55	7	42	gene
YLR167W	907	532	624	gene
YLR172C	15	83	9	gene
YLR175W	215	139	168	gene
YLR180W	333	92	273	gene
YLR185W	321	572	502	gene
YLR194C	208	141	189	gene
YLR196W	28	43	57	gene
YLR197W	200	121	178	gene
YLR203C	57	19	52	gene
YLR204W	36	7	37	gene
YLR206W	80	111	81	gene
YLR208W	52	90	165	gene
YLR214W	34	49	31	gene
YLR216C	79	47	98	gene
YLR219W	38	25	16	gene
YLR220W	53	204	12	gene
YLR223C	9	34	22	gene
YLR224W	17	42	36	gene
YLR225C	40	41	15	gene
YLR226W	6	11	9	gene
YLR229C	83	108	40	gene
YLR238W	17	6	6	gene
YLR244C	27	43	25	gene
YLR247C	33	65	14	gene
YLR248W	34	13	7	gene
YLR249W	3796	2824	3036	gene
YLR250W	15	9	9	gene
YLR254C	10	42	49	gene
YLR256W	245	586	249	gene
YLR257W	214	235	156	gene
YLR258W	9	112	11	gene
YLR259C	425	175	215	gene
YLR264W	120	255	205	gene
YLR286C	665	259	633	gene
YLR287C-A	387	125	441	gene
YLR293C	286	284	435	gene
YLR299W	12	61	17	gene
YLR300W	417	261	260	gene
YLR301W	26	10	66	gene
YLR304C	367	136	204	gene
YLR305C	24	87	32	gene
YLR309C	45	35	30	gene
YLR310C	110	148	169	gene
YLR314C	57	29	58	gene
YLR325C	394	371	315	gene
YLR328W	23	46	48	gene
YLR330W	73	65	36	gene
YLR332W	69	73	113	gene
YLR333C	226	149	266	gene
YLR335W	39	16	22	gene
YLR337C	43	86	164	gene
YLR340W	1071	628	1058	gene
YLR342W	1793	1171	1547	gene
YLR344W	261	160	353	gene
YLR347C	91	75	49	gene
YLR348C	37	26	66	gene
YLR350W	55	18	65	gene
YLR351C	8	21	7	gene
YLR354C	143	222	138	gene
YLR355C	1181	1239	1311	gene
YLR357W	20	77	22	gene
YLR359W	322	284	272	gene
YLR363C	6	10	15	gene
YLR367W	283	228	463	gene
YLR370C	16	59	50	gene
YLR371W	122	169	156	gene
YLR372W	197	245	161	gene
YLR373C	31	82	26	gene
YLR378C	115	206	156	gene
YLR380W	13	11	56	gene
YLR384C	41	41	22	gene
YLR388W	181	251	241	gene
YLR389C	47	32	103	gene
YLR390W-A	457	166	656	gene
YLR392C	6	6	20	gene
YLR396C	29	10	35	gene
YLR398C	95	53	140	gene
YLR399C	57	215	70	gene
YLR403W	75	20	64	gene
YLR406C	278	285	219	gene
YLR410W	42	128	64	gene
YLR413W	220	289	250	gene
YLR414C	68	16	46	gene
YLR420W	49	8	25	gene
YLR421C	107	18	78	gene
YLR422W	17	61	13	gene
YLR425W	47	15	49	gene
YLR426W	62	38	49	gene
YLR429W	24	139	27	gene
YLR430W	48	65	41	gene
YLR432W	184	200	189	gene
YLR436C	30	225	48	gene
YLR441C	577	388	434	gene
YLR447C	149	235	244	gene
YLR448W	460	512	586	gene
YLR449W	57	225	100	gene
YLR450W	66	94	85	gene
YLR454W	26	96	69	gene
YML129C	56	10	41	gene
YML128C	23	111	72	gene
YML126C	125	134	184	gene
YML125C	63	84	23	gene
YML124C	44	42	58	gene
YML123C	640	265	555	gene
YML117W	191	218	122	gene
YML115C	8	65	10	gene
YML111W	18	6	6	gene
YML110C	11	71	24	gene
YML106W	106	25	123	gene
YML104C	24	20	31	gene
YML103C	27	17	50	gene
YML100W	71	101	117	gene
YML093W	22	54	76	gene
YML092C	31	154	80	gene
YML086C	32	50	61	gene
YML085C	83	112	107	gene
YML081C-A	10	10	35	gene
YML078W	16	35	10	gene
YML074C	148	156	237	gene
YML073C	358	355	420	gene
YML072C	130	218	69	gene
YML071C	8	100	6	gene
YML070W	13	33	6	gene
YML069W	72	11	50	gene
YML067C	18	221	73	gene
YML063W	800	924	810	gene
YML058W	169	382	349	gene
YML057W	41	41	28	gene
YML056C	390	615	548	gene
YML053C	33	27	23	gene
YML052W	78	104	26	gene
YML049C	41	28	28	gene
YML048W	151	139	78	gene
YML038C	37	13	102	gene
YML035C	36	19	30	gene
YML034W	30	18	29	gene
YML031W	29	134	50	gene
YML030W	9	9	6	gene
YML028W	615	400	556	gene
YML026C	475	117	478	gene
YML025C	15	80	50	gene
YML024W	363	262	360	gene
YML022W	84	85	65	gene
YML018C	13	21	22	gene
YML017W	53	261	74	gene
YML016C	30	23	22	gene
YML012W	41	73	20	gene
YML010W	35	68	117	gene
YML008C	70	85	23	gene
YML007W	56	24	45	gene
YML006C	19	40	31	gene
YML004C	53	43	51	gene
YML001W	77	102	81	gene
YMR002W	68	344	55	gene
YMR005W	14	15	20	gene
YMR008C	223	114	182	gene
YMR009W	29	79	59	gene
YMR011W	387	215	718	gene
YMR012W	476	667	285	gene
YMR013W-A	237	293	371	gene
YMR014W	14	25	10	gene
YMR016C	16	20	65	gene
YMR022W	9	35	6	gene
YMR031C	55	46	59	gene
YMR033W	37	199	74	gene
YMR037C	105	155	82	gene
YMR038C	50	11	53	gene
YMR039C	9	41	40	gene
YMR043W	29	256	19	gene
YMR047C	71	70	129	gene
YMR054W	42	208	64	gene
YMR058W	264	244	219	gene
YMR060C	8	16	36	gene
YMR061W	51	15	58	gene
YMR063W	12	27	24	gene
YMR070W	19	230	27	gene
YMR072W	18	14	27	gene
YMR074C	7	22	6	gene
YMR079W	120	90	134	gene
YMR080C	38	198	95	gene
YMR083W	340	408	176	gene
YMR088C	25	10	9	gene
YMR092C	37	29	19	gene
YMR099C	25	92	26	gene
YMR100W	20	7	9	gene
YMR102C	136	119	96	gene
YMR105C	63	34	56	gene
YMR108W	128	73	203	gene
YMR109W	47	29	106	gene
YMR116C	1799	1976	1743	gene
YMR119W	51	253	100	gene
YMR120C	319	382	449	gene
YMR121C	41	13	61	gene
YMR122W-A	345	377	593	gene
YMR123W	17	38	49	gene
YMR124W	78	11	148	gene
YMR125W	38	104	44	gene
YMR128W	13	26	20	gene
YMR129W	22	47	29	gene
YMR135C	19	47	12	gene
YMR142C	520	745	969	gene
YMR143W	524	254	602	gene
YMR145C	72	87	126	gene
YMR146C	153	62	135	gene
YMR149W	23	11	116	gene
YMR161W	18	48	28	gene
YMR162C	24	18	28	gene
YMR164C	6	50	22	gene
YMR178W	56	11	35	gene
YMR179W	24	7	32	gene
YMR182W-A	125	122	286	gene
YMR183C	23	53	23	gene
YMR186W	1751	1164	1357	gene
YMR188C	30	87	32	gene
YMR189W	49	95	82	gene
YMR191W	32	16	33	gene
YMR194W	194	208	294	gene
YMR195W	98	15	113	gene
YMR196W	73	51	45	gene
YMR197C	19	24	18	gene
YMR198W	12	20	87	gene
YMR199W	64	89	148	gene
YMR200W	32	70	26	gene
YMR202W	59	42	42	gene
YMR203W	74	71	128	gene
YMR205C	844	643	764	gene
YMR216C	9	8	35	gene
YMR217W	280	438	220	gene
YMR219W	7	22	34	gene
YMR225C	9	13	8	gene
YMR226C	16	43	9	gene
YMR229C	194	489	299	gene
YMR230W	191	87	301	gene
YMR235C	60	104	50	gene
YMR237W	16	24	48	gene
YMR238W	43	31	48	gene
YMR241W	19	43	26	gene
YMR242C	514	410	595	gene
YMR243C	120	27	94	gene
YMR246W	208	111	328	gene
YMR247C	6	8	38	gene
YMR251W-A	565	482	477	gene
YMR255W	7	13	15	gene
YMR258C	20	8	11	gene
YMR260C	93	38	43	gene
YMR261C	106	518	13	gene
YMR266W	74	267	146	gene
YMR272C	20	51	64	gene
YMR276W	24	36	69	gene
YMR278W	33	97	33	gene
YMR290C	58	91	30	gene
YMR291W	115	136	143	gene
YMR295C	107	31	130	gene
YMR296C	71	120	108	gene
YMR297W	99	125	57	gene
YMR299C	20	15	7	gene
YMR300C	58	109	132	gene
YMR303C	275	207	486	gene
YMR304W	53	11	40	gene
YMR305C	148	41	299	gene
YMR307W	800	590	587	gene
YMR308C	67	160	156	gene
YMR309C	154	184	291	gene
YMR311C	24	25	36	gene
YMR313C	8	26	26	gene
YMR314W	76	102	116	gene
YMR315W	7	8	12	gene
YMR316W	164	93	166	gene
YMR318C	61	85	59	gene
YMR319C	53	112	89	gene
YNL330C	12	13	26	gene
YNL327W	307	604	451	gene
YNL323W	15	13	6	gene
YNL322C	69	19	103	gene
YNL311C	32	78	15	gene
YNL308C	37	179	28	gene
YNL307C	59	31	95	gene
YNL302C	398	402	523	gene
YNL301C	276	283	463	gene
YNL300W	31	14	31	gene
YNL297C	54	79	78	gene
YNL292W	40	97	6	gene
YNL290W	27	10	29	gene
YNL289W	104	24	127	gene
YNL288W	52	35	35	gene
YNL287W	338	486	251	gene
YNL284C	45	35	33	gene
YNL283C	19	13	19	gene
YNL281W	121	89	105	gene
YNL280C	24	9	18	gene
YNL278W	33	11	42	gene
YNL272C	19	56	30	gene
YNL271C	45	17	43	gene
YNL268W	45	6	66	gene
YNL261W	25	58	28	gene
YNL259C	25	67	13	gene
YNL255C	118	244	108	gene
YNL251C	179	221	198	gene
YNL248C	30	30	38	gene
YNL247W	100	127	95	gene
YNL244C	97	94	98	gene
YNL243W	47	84	60	gene
YNL241C	86	12	84	gene
YNL239W	24	23	12	gene
YNL230C	11	60	14	gene
YNL222W	8	6	19	gene
YNL220W	149	225	121	gene
YNL217W	32	10	46	gene
YNL213C	11	10	12	gene
YNL209W	1179	971	1259	gene
YNL208W	93	19	147	gene
YNL197C	66	55	37	gene
YNL192W	476	371	494	gene
YNL190W	516	548	461	gene
YNL189W	28	49	72	gene
YNL186W	23	56	78	gene
YNL178W	747	573	758	gene
YNL176C	19	42	28	gene
YNL162W	246	218	353	gene
YNL161W	17	18	97	gene
YNL159C	12	70	35	gene
YNL156C	15	36	22	gene
YNL155W	32	98	24	gene
YNL154C	19	28	36	gene
YNL147W	30	10	22	gene
YNL145W	176	171	171	gene
YNL141W	20	13	6	gene
YNL139C	33	10	31	gene
YNL138W	86	76	101	gene
YNL135C	127	199	108	gene
YNL132W	33	12	15	gene
YNL131W	19	7	34	gene
YNL130C	35	12	28	gene
YNL127W	16	74	7	gene
YNL123W	51	58	52	gene
YNL121C	90	270	80	gene
YNL118C	56	128	110	gene
YNL113W	26	29	22	gene
YNL112W	209	395	870	gene
YNL111C	21	11	21	gene
YNL110C	16	27	21	gene
YNL108C	12	13	38	gene
YNL104C	163	305	113	gene
YNL101W	6	13	30	gene
YNL096C	333	195	361	gene
YNL090W	10	101	13	gene
YNL088W	6	27	6	gene
YNL087W	10	141	39	gene
YNL085W	114	493	73	gene
YNL079C	145	200	122	gene
YNL077W	44	100	27	gene
YNL076W	13	32	69	gene
YNL074C	93	41	116	gene
YNL071W	137	50	79	gene
YNL069C	678	430	688	gene
YNL067W	213	124	327	gene
YNL066W	312	146	250	gene
YNL064C	248	309	172	gene
YNL061W	110	175	132	gene
YNL056W	33	28	24	gene
YNL055C	235	219	226	gene
YNL049C	28	140	91	gene
YNL045W	34	18	67	gene
YNL044W	27	14	65	gene
YNL042W-B	81	210	232	gene
YNL037C	58	242	31	gene
YNL035C	14	43	34	gene
YNL031C	528	440	407	gene
YNL030W	210	96	321	gene
YNL027W	21	72	8	gene
YNL026W	15	60	11	gene
YNL024C-A	18	6	54	gene
YNL020C	10	216	87	gene
YNL016W	155	303	167	gene
YNL015W	26	98	7	gene
YNL011C	17	7	31	gene
YNL010W	37	40	49	gene
YNL007C	144	32	179	gene
YNL004W	24	179	84	gene
YNL003C	21	17	44	gene
YNL002C	39	7	21	gene
YNR001C	73	56	62	gene
YNR006W	9	78	28	gene
YNR013C	31	37	24	gene
YNR016C	869	868	918	gene
YNR017W	95	32	40	gene
YNR018W	60	29	18	gene
YNR019W	37	31	13	gene
YNR021W	97	216	112	gene
YNR030W	15	76	11	gene
YNR033W	21	55	9	gene
YNR037C	35	6	41	gene
YNR043W	31	6	40	gene
YNR047W	35	21	19	gene
YNR049C	7	133	17	gene
YNR051C	132	111	246	gene
YNR052C	63	49	73	gene
YNR053C	147	148	299	gene
YNR059W	17	41	23	gene
YNR067C	28	142	24	gene
YNR075W	12	19	11	gene
YOL158C	101	187	166	gene
YOL149W	10	18	12	gene
YOL145C	19	29	9	gene
YOL143C	84	18	37	gene
YOL140W	13	7	33	gene
YOL139C	125	136	182	gene
YOL136C	28	61	49	gene
YOL130W	38	9	67	gene
YOL129W	80	41	99	gene
YOL127W	523	425	496	gene
YOL126C	139	250	145	gene
YOL125W	12	10	7	gene
YOL123W	141	40	156	gene
YOL121C	299	203	321	gene
YOL120C	832	246	767	gene
YOL119C	21	24	9	gene
YOL115W	68	27	148	gene
YOL111C	40	104	26	gene
YOL109W	240	64	226	gene
YOL105C	9	53	38	gene
YOL103W	7	60	12	gene
YOL098C	66	102	122	gene
YOL097C	39	7	80	gene
YOL086C	3655	3177	3820	gene
YOL081W	465	987	540	gene
YOL077C	37	28	6	gene
YOL076W	6	20	10	gene
YOL073C	8	9	20	gene
YOL068C	7	42	11	gene
YOL064C	12	28	7	gene
YOL062C	18	23	36	gene
YOL061W	109	106	72	gene
YOL060C	22	71	115	gene
YOL059W	144	217	130	gene
YOL053W	20	74	63	gene
YOL051W	8	38	30	gene
YOL049W	12	14	30	gene
YOL048C	9	8	11	gene
YOL045W	18	53	44	gene
YOL041C	25	24	13	gene
YOL040C	727	409	568	gene
YOL039W	351	251	510	gene
YOL038W	40	81	31	gene
YOL030W	152	111	130	gene
YOL021C	42	96	82	gene
YOL020W	61	60	72	gene
YOL019W	19	66	40	gene
YOL016C	397	342	311	gene
YOL015W	8	150	43	gene
YOL014W	20	51	26	gene
YOL013W-A	79	6	78	gene
YOL012C	16	9	27	gene
YOL011W	124	156	185	gene
YOL006C	21	71	25	gene
YOL005C	14	18	18	gene
YOL004W	87	305	98	gene
YOL003C	22	222	17	gene
YOR001W	9	113	11	gene
YOR002W	20	16	30	gene
YOR007C	111	69	70	gene
YOR008C	65	265	116	gene
YOR014W	105	175	158	gene
YOR017W	6	9	7	gene
YOR018W	37	75	13	gene
YOR020C	139	162	107	gene
YOR021C	7	8	20	gene
YOR023C	40	80	46	gene
YOR025W	9	48	7	gene
YOR027W	283	317	214	gene
YOR030W	17	11	6	gene
YOR035C	72	126	98	gene
YOR039W	31	25	41	gene
YOR042W	22	18	52	gene
YOR043W	110	126	155	gene
YOR045W	43	125	60	gene
YOR046C	66	24	73	gene
YOR047C	32	70	45	gene
YOR048C	6	7	20	gene
YOR051C	19	33	8	gene
YOR052C	89	55	85	gene
YOR054C	7	74	17	gene
YOR058C	12	38	9	gene
YOR060C	14	17	24	gene
YOR062C	42	190	96	gene
YOR063W	1302	1233	1149	gene
YOR067C	49	43	37	gene
YOR072W-B	72	354	265	gene
YOR085W	19	14	21	gene
YOR086C	53	90	91	gene
YOR087W	11	10	12	gene
YOR089C	43	274	11	gene
YOR093C	7	89	18	gene
YOR095C	34	6	48	gene
YOR096W	579	267	459	gene
YOR097C	13	13	9	gene
YOR098C	30	89	17	gene
YOR103C	18	84	23	gene
YOR108W	39	181	28	gene
YOR109W	44	6	13	gene
YOR113W	44	251	24	gene
YOR116C	28	56	60	gene
YOR117W	55	15	39	gene
YOR120W	7	19	50	gene
YOR122C	125	340	208	gene
YOR128C	128	23	123	gene
YOR133W	2222	1401	1519	gene
YOR136W	88	164	35	gene
YOR137C	13	67	27	gene
YOR140W	22	14	37	gene
YOR142W	38	60	53	gene
YOR145C	16	7	10	gene
YOR147W	6	12	29	gene
YOR151C	201	438	189	gene
YOR153W	3286	2078	2325	gene
YOR157C	29	9	40	gene
YOR158W	22	14	30	gene
YOR161C	14	26	42	gene
YOR165W	8	24	6	gene
YOR167C	275	149	204	gene
YOR168W	65	201	57	gene
YOR171C	12	10	16	gene
YOR175C	38	51	19	gene
YOR181W	66	82	121	gene
YOR182C	216	98	345	gene
YOR184W	23	34	9	gene
YOR187W	25	51	75	gene
YOR196C	21	19	21	gene
YOR197W	35	88	70	gene
YOR198C	277	157	206	gene
YOR204W	932	400	833	gene
YOR208W	14	63	35	gene
YOR209C	168	186	131	gene
YOR211C	27	8	53	gene
YOR212W	33	46	51	gene
YOR216C	8	34	10	gene
YOR219C	83	148	50	gene
YOR220W	80	71	44	gene
YOR221C	89	48	90	gene
YOR224C	69	166	70	gene
YOR226C	27	27	67	gene
YOR230W	264	169	244	gene
YOR231W	22	13	19	gene
YOR232W	56	38	10	gene
YOR234C	208	189	162	gene
YOR235W	72	125	94	gene
YOR237W	19	73	12	gene
YOR239W	101	19	99	gene
YOR241W	50	12	69	gene
YOR243C	8	23	23	gene
YOR244W	18	206	10	gene
YOR247W	305	363	440	gene
YOR254C	114	56	83	gene
YOR257W	11	143	15	gene
YOR259C	62	42	92	gene
YOR260W	17	13	21	gene
YOR261C	45	145	44	gene
YOR267C	115	233	147	gene
YOR270C	242	240	216	gene
YOR271C	62	36	38	gene
YOR272W	7	29	31	gene
YOR273C	208	274	167	gene
YOR275C	15	38	18	gene
YOR276W	74	27	37	gene
YOR281C	8	11	11	gene
YOR283W	52	98	6	gene
YOR285W	60	9	71	gene
YOR290C	49	13	31	gene
YOR292C	23	96	39	gene
YOR293W	453	375	541	gene
